Type,Complexity,Granularity,Strategy,Proportion,Init_Performance,Final_Performance
Hard-to-easy,1,1,Best,10,0.1927,0.9395
Hard-to-easy,1,1,Conformity,10,0.1927,0.9395
Hard-to-easy,1,1,Random,10,0.1927,0.9395
Hard-to-easy,1,1,Best,10,0.2236,0.9424
Hard-to-easy,1,1,Conformity,10,0.2236,0.945
Hard-to-easy,1,1,Random,10,0.2236,0.945
Hard-to-easy,1,1,Best,10,0.1642,0.9307
Hard-to-easy,1,1,Conformity,10,0.1642,0.933
Hard-to-easy,1,1,Random,10,0.1642,0.933
Hard-to-easy,1,1,Best,10,0.2058,0.9297
Hard-to-easy,1,1,Conformity,10,0.2058,0.932
Hard-to-easy,1,1,Random,10,0.2058,0.932
Hard-to-easy,1,1,Best,10,0.1505,0.9297
Hard-to-easy,1,1,Conformity,10,0.1505,0.9297
Hard-to-easy,1,1,Random,10,0.1505,0.9316
Hard-to-easy,1,1,Best,10,0.1838,0.9297
Hard-to-easy,1,1,Conformity,10,0.1838,0.932
Hard-to-easy,1,1,Random,10,0.1838,0.932
Hard-to-easy,1,1,Best,10,0.1904,0.9297
Hard-to-easy,1,1,Conformity,10,0.1904,0.932
Hard-to-easy,1,1,Random,10,0.1904,0.932
Hard-to-easy,1,1,Best,10,0.22,0.9385
Hard-to-easy,1,1,Conformity,10,0.22,0.9385
Hard-to-easy,1,1,Random,10,0.22,0.9385
Hard-to-easy,1,1,Best,10,0.1898,0.9385
Hard-to-easy,1,1,Conformity,10,0.1898,0.9385
Hard-to-easy,1,1,Random,10,0.1898,0.9385
Hard-to-easy,1,1,Best,10,0.2032,0.9385
Hard-to-easy,1,1,Conformity,10,0.2032,0.9385
Hard-to-easy,1,1,Random,10,0.2032,0.9385
Easy-to-hard,1,1,Best,10,0.1879,0.953
Easy-to-hard,1,1,Conformity,10,0.1879,0.958
Easy-to-hard,1,1,Random,10,0.1879,0.958
Easy-to-hard,1,1,Best,10,0.285,0.952
Easy-to-hard,1,1,Conformity,10,0.285,0.957
Easy-to-hard,1,1,Random,10,0.285,0.957
Easy-to-hard,1,1,Best,10,0.1993,0.9478
Easy-to-hard,1,1,Conformity,10,0.1993,0.9526
Easy-to-hard,1,1,Random,10,0.1993,0.9526
Easy-to-hard,1,1,Best,10,0.2125,0.953
Easy-to-hard,1,1,Conformity,10,0.2125,0.958
Easy-to-hard,1,1,Random,10,0.2125,0.958
Easy-to-hard,1,1,Best,10,0.2247,0.9478
Easy-to-hard,1,1,Conformity,10,0.2247,0.9526
Easy-to-hard,1,1,Random,10,0.2247,0.9526
Easy-to-hard,1,1,Best,10,0.202,0.952
