,Task,Granularity,Complexity,Trial,Individual,Performance
0,Hard-to-easy,1,1,0,Open,1.0
1,Hard-to-easy,1,1,0,Conservative ,0.35709
2,Hard-to-easy,1,1,1,Open,1.0
3,Hard-to-easy,1,1,1,Conservative ,0.3687
4,Hard-to-easy,1,1,2,Open,1.0
5,Hard-to-easy,1,1,2,Conservative ,0.3724860000000001
6,Hard-to-easy,1,1,3,Open,1.0
7,Hard-to-easy,1,1,3,Conservative ,0.41486599999999996
8,Hard-to-easy,1,1,4,Open,1.0
9,Hard-to-easy,1,1,4,Conservative ,0.45253600000000005
10,Hard-to-easy,1,1,5,Open,1.0
11,Hard-to-easy,1,1,5,Conservative ,0.35117400000000004
12,Hard-to-easy,1,1,6,Open,1.0
13,Hard-to-easy,1,1,6,Conservative ,0.394796
14,Hard-to-easy,1,1,7,Open,1.0
15,Hard-to-easy,1,1,7,Conservative ,0.354222
16,Hard-to-easy,1,1,8,Open,1.0
17,Hard-to-easy,1,1,8,Conservative ,0.38566
18,Hard-to-easy,1,1,9,Open,1.0
19,Hard-to-easy,1,1,9,Conservative ,0.323386
20,Hard-to-easy,1,2,0,Open,1.0
21,Hard-to-easy,1,2,0,Conservative ,0.32186399999999993
22,Hard-to-easy,1,2,1,Open,1.0
23,Hard-to-easy,1,2,1,Conservative ,0.32006999999999997
24,Hard-to-easy,1,2,2,Open,1.0
25,Hard-to-easy,1,2,2,Conservative ,0.35856
26,Hard-to-easy,1,2,3,Open,1.0
27,Hard-to-easy,1,2,3,Conservative ,0.357902
28,Hard-to-easy,1,2,4,Open,1.0
29,Hard-to-easy,1,2,4,Conservative ,0.32589799999999997
30,Hard-to-easy,1,2,5,Open,1.0
31,Hard-to-easy,1,2,5,Conservative ,0.35386800000000007
32,Hard-to-easy,1,2,6,Open,1.0
33,Hard-to-easy,1,2,6,Conservative ,0.33148599999999995
34,Hard-to-easy,1,2,7,Open,1.0
35,Hard-to-easy,1,2,7,Conservative ,0.35386800000000007
36,Hard-to-easy,1,2,8,Open,1.0
37,Hard-to-easy,1,2,8,Conservative ,0.38411000000000006
38,Hard-to-easy,1,2,9,Open,1.0
39,Hard-to-easy,1,2,9,Conservative ,0.33551999999999993
