trial,network,nodes,edges,probability,distribution,task,proportion,peak,power,srd,samples,steps,time,strategy,init_max_performance,p0,p500,s0,s500
1,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,7.19,Best,1.0,0.0601,0.5401,11,6
1,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,6.75,Conformity,1.0,0.0601,0.5401,11,6
1,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,8.37,Random,1.0,0.0601,0.5401,11,6
2,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,5.92,Best,1.0,0.15,0.6001,11,7
2,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,6.43,Conformity,1.0,0.15,0.6001,11,7
2,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,8.05,Random,1.0,0.15,0.6001,11,7
3,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,7.21,Best,1.0,0.12,0.5301,11,6
3,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,7.11,Conformity,1.0,0.12,0.5301,11,6
3,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,9.43,Random,1.0,0.12,0.5301,11,6
4,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,7.17,Best,1.0,0.0801,0.5701,11,7
4,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,8.25,Conformity,1.0,0.0801,0.5701,11,7
4,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,10.66,Random,1.0,0.0801,0.5701,11,7
5,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,6.83,Best,1.0,0.1,0.5601,11,6
5,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,7.61,Conformity,1.0,0.1,0.5601,11,6
5,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,8.57,Random,1.0,0.1,0.5601,11,6
6,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,7.92,Best,1.0,0.06,0.5301,11,5
6,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,7.12,Conformity,1.0,0.06,0.5301,11,5
6,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,8.54,Random,1.0,0.06,0.5301,11,5
7,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,6.53,Best,1.0,0.1,0.5801,11,6
7,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,7.64,Conformity,1.0,0.1,0.5801,11,6
7,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,8.59,Random,1.0,0.1,0.5801,11,6
8,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,6.89,Best,1.0,0.02,0.5101,11,7
8,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,6.57,Conformity,1.0,0.02,0.5101,11,7
8,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,8.21,Random,1.0,0.02,0.5101,11,7
9,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,6.25,Best,1.0,0.07,0.5401,11,6
9,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,6.2,Conformity,1.0,0.07,0.5401,11,6
9,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,9.65,Random,1.0,0.07,0.5401,11,6
10,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,8.4,Best,1.0,0.14,0.5801,11,7
10,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,10.69,Conformity,1.0,0.14,0.5801,11,7
10,FC,100,4950,0.1,ND,Ackley,50,31,8,1,3,500,13.97,Random,1.0,0.14,0.5801,11,7
1,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,6.42,Best,1.0,0.217,0.7819,11,6
1,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,6.16,Conformity,1.0,0.217,0.7829,11,7
1,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,10.42,Random,1.0,0.217,0.7829,11,7
2,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,6.54,Best,1.0,0.2504,0.7849,11,7
2,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,6.04,Conformity,1.0,0.2504,0.7849,11,7
2,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,7.58,Random,1.0,0.2504,0.7849,11,7
3,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,5.64,Best,1.0,0.2767,0.7907,11,7
3,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,6.2,Conformity,1.0,0.2767,0.7918,11,6
3,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,8.86,Random,1.0,0.2767,0.7918,11,6
4,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,5.81,Best,1.0,0.2143,0.79,11,6
4,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,7.49,Conformity,1.0,0.2143,0.79,11,6
4,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,12.76,Random,1.0,0.2143,0.79,11,6
5,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,8.63,Best,1.0,0.3007,0.7989,11,5
5,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,7.18,Conformity,1.0,0.3007,0.7989,11,5
5,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,7.51,Random,1.0,0.3007,0.7989,11,5
6,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,5.97,Best,1.0,0.1858,0.7752,11,7
6,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,6.02,Conformity,1.0,0.1858,0.7763,11,6
6,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,7.51,Random,1.0,0.1858,0.7763,11,6
7,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,8.63,Best,1.0,0.2217,0.7866,11,6
7,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,7.66,Conformity,1.0,0.2217,0.7866,11,6
7,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,8.01,Random,1.0,0.2217,0.7866,11,6
8,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,6.73,Best,1.0,0.2585,0.7876,11,7
8,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,6.27,Conformity,1.0,0.2585,0.7876,11,7
8,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,7.94,Random,1.0,0.2585,0.7876,11,7
9,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,6.13,Best,1.0,0.2676,0.7903,11,6
9,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,9.27,Conformity,1.0,0.2676,0.7903,11,6
9,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,12.45,Random,1.0,0.2676,0.7903,11,6
10,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,10.92,Best,1.0,0.2566,0.7745,11,6
10,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,7.3,Conformity,1.0,0.2566,0.7746,11,7
10,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,3,500,9.05,Random,1.0,0.2566,0.7746,11,7
1,FC,100,4950,0.1,ND,Ackley,50,31,8,1,4,500,5.68,Best,1.0,0.11,0.5401,11,5
1,FC,100,4950,0.1,ND,Ackley,50,31,8,1,4,500,5.77,Conformity,1.0,0.11,0.5401,11,5
1,FC,100,4950,0.1,ND,Ackley,50,31,8,1,4,500,6.91,Random,1.0,0.11,0.5401,11,5
2,FC,100,4950,0.1,ND,Ackley,50,31,8,1,4,500,5.72,Best,1.0,0.08,0.5101,11,5
2,FC,100,4950,0.1,ND,Ackley,50,31,8,1,4,500,5.67,Conformity,1.0,0.08,0.5101,11,5
2,FC,100,4950,0.1,ND,Ackley,50,31,8,1,4,500,6.94,Random,1.0,0.08,0.5101,11,5
3,FC,100,4950,0.1,ND,Ackley,50,31,8,1,4,500,5.48,Best,1.0,0.09,0.5601,11,7
3,FC,100,4950,0.1,ND,Ackley,50,31,8,1,4,500,5.78,Conformity,1.0,0.09,0.5601,11,7
3,FC,100,4950,0.1,ND,Ackley,50,31,8,1,4,500,7.16,Random,1.0,0.09,0.5601,11,7
4,FC,100,4950,0.1,ND,Ackley,50,31,8,1,4,500,5.61,Best,1.0,0.2,0.6301,11,5
4,FC,100,4950,0.1,ND,Ackley,50,31,8,1,4,500,5.76,Conformity,1.0,0.2,0.6301,11,5
4,FC,100,4950,0.1,ND,Ackley,50,31,8,1,4,500,7.21,Random,1.0,0.2,0.6301,11,5
5,FC,100,4950,0.1,ND,Ackley,50,31,8,1,4,500,5.87,Best,1.0,0.09,0.5401,11,6
5,FC,100,4950,0.1,ND,Ackley,50,31,8,1,4,500,5.96,Conformity,1.0,0.09,0.5401,11,6
5,FC,100,4950,0.1,ND,Ackley,50,31,8,1,4,500,7.22,Random,1.0,0.09,0.5401,11,6
6,FC,100,4950,0.1,ND,Ackley,50,31,8,1,4,500,5.74,Best,1.0,0.09,0.5401,11,5
6,FC,100,4950,0.1,ND,Ackley,50,31,8,1,4,500,5.97,Conformity,1.0,0.09,0.5401,11,5
